mission_id,keywords,mission_name,seriesName,shortDescription,astronaut_id,launch_time,land_time,launch_date,land_date,astroNumber,astronaut_name,gender,inSpace,overallNumber,spacewalkCount,species,speciesGroup,totalMinutesInSpace,totalSecondsSpacewalking,awards,num_awards,country
00d2e869-4c3d-4be3-b2e9-c3a935768abb,"SpaceX, Crewed",SpaceX Crew-2,SpaceX,Crew-2 is SpaceX's second operational flight of its Crew Dragon human spacecraft and the first reuse of a Crew Dragon capsule. This is the first flight of a European astronaut on Crew Dragon and the first time since 1965 that two US crew missions will be in space at the same time as the Crew-1 flight is still docked to the Space Station. Megan McArthur became only the fourth woman to pilot a US human space mission on this flight.,NSZm43AoLYq0PEOXpgALIz,09:49:00,03:33:00,2021-04-23,2021-11-09,498,Robert S. Kimbrough,male,False,746.0,9.0,Human,human,559768.0,213960.0,"['ISS Visitor', 'Crossed Kármán Line', 'Elite Spacewalker', 'Space Resident', 'Frequent Walker', 'Elite Spaceflyer']",6.0,
00d2e869-4c3d-4be3-b2e9-c3a935768abb,"SpaceX, Crewed",SpaceX Crew-2,SpaceX,Crew-2 is SpaceX's second operational flight of its Crew Dragon human spacecraft and the first reuse of a Crew Dragon capsule. This is the first flight of a European astronaut on Crew Dragon and the first time since 1965 that two US crew missions will be in space at the same time as the Crew-1 flight is still docked to the Space Station. Megan McArthur became only the fourth woman to pilot a US human space mission on this flight.,NSZm43AoLYq0PEOXpg9vYz,09:49:00,03:33:00,2021-04-23,2021-11-09,505,K. Megan McArthur,female,False,756.0,0.0,Human,human,306200.0,0.0,"['Crossed Kármán Line', 'ISS Visitor', 'Space Resident']",3.0,
00d2e869-4c3d-4be3-b2e9-c3a935768abb,"SpaceX, Crewed",SpaceX Crew-2,SpaceX,Crew-2 is SpaceX's second operational flight of its Crew Dragon human spacecraft and the first reuse of a Crew Dragon capsule. This is the first flight of a European astronaut on Crew Dragon and the first time since 1965 that two US crew missions will be in space at the same time as the Crew-1 flight is still docked to the Space Station. Megan McArthur became only the fourth woman to pilot a US human space mission on this flight.,NSZm43AoLYq0PEOXpg8I7U,09:49:00,03:33:00,2021-04-23,2021-11-09,490,Akihiko Hoshide,male,False,738.0,4.0,Human,human,490270.0,101539.0,"['ISS Visitor', 'Crossed Kármán Line', 'Space Resident']",3.0,Japan
00d2e869-4c3d-4be3-b2e9-c3a935768abb,"SpaceX, Crewed",SpaceX Crew-2,SpaceX,Crew-2 is SpaceX's second operational flight of its Crew Dragon human spacecraft and the first reuse of a Crew Dragon capsule. This is the first flight of a European astronaut on Crew Dragon and the first time since 1965 that two US crew missions will be in space at the same time as the Crew-1 flight is still docked to the Space Station. Megan McArthur became only the fourth woman to pilot a US human space mission on this flight.,gJ17JRX4XCdSoJR41wgocw,09:49:00,03:33:00,2021-04-23,2021-11-09,561,Thomas Pesquet,male,False,873.0,6.0,Human,human,570934.0,143299.0,"['ISS Visitor', 'Crossed Kármán Line', 'Space Resident', 'Elite Spacewalker', 'Elite Spaceflyer']",5.0,France
00ebb32a-4161-4c35-9f11-b9e207468152,,NS-18,New Shepard,"Blue Origin's second crewed, suborbital mission including Star Trek legend, William Shatner.",9841beb3-1e03-4a7a-9b20-7232c22c7900,14:49:53,14:59:01,2021-10-13,2021-10-13,597,William Shatner,male,False,927.0,0.0,Human,human,2.0,0.0,['Crossed Kármán Line'],1.0,Canada
00ebb32a-4161-4c35-9f11-b9e207468152,,NS-18,New Shepard,"Blue Origin's second crewed, suborbital mission including Star Trek legend, William Shatner.",75c3f002-de77-42f7-adbd-0facb771ef62,14:49:53,14:59:01,2021-10-13,2021-10-13,598,Dr. Chris Boshuizen,male,False,928.0,0.0,Human,human,2.0,0.0,['Crossed Kármán Line'],1.0,
00ebb32a-4161-4c35-9f11-b9e207468152,,NS-18,New Shepard,"Blue Origin's second crewed, suborbital mission including Star Trek legend, William Shatner.",6a14f033-53f8-4a62-a846-288260e2955f,14:49:53,14:59:01,2021-10-13,2021-10-13,599,Glen de Vries,male,False,929.0,0.0,Human,human,2.0,0.0,['Crossed Kármán Line'],1.0,United States of America
00ebb32a-4161-4c35-9f11-b9e207468152,,NS-18,New Shepard,"Blue Origin's second crewed, suborbital mission including Star Trek legend, William Shatner.",3fba133c-41ef-4ec9-a5e5-e831136c2009,14:49:53,14:59:01,2021-10-13,2021-10-13,600,Audrey Powers,female,False,930.0,0.0,Human,human,2.0,0.0,['Crossed Kármán Line'],1.0,United States of America
012cd516-1163-4a3d-986d-dabd52c1d70b,"SpaceX, Crewed",Inspiration4,SpaceX,"Inspiration4 is the world’s first all-civilian mission to orbit. The mission will be commanded by Jared Isaacman, the 38-year-old founder and Chief Executive Officer of Shift4 Payments and an accomplished pilot and adventurer. Named in recognition of the four-person crew that will raise awareness and funds for St. Jude Children’s Research Hospital, this milestone represents a new era for human spaceflight and exploration.",ca192a9a-33bf-4c40-a25e-21d39341d543,00:02:00,23:06:00,2021-09-15,2021-09-18,591,Jared Isaacman,male,False,921.0,0.0,Human,human,4264.0,0.0,['Crossed Kármán Line'],1.0,United States of America
012cd516-1163-4a3d-986d-dabd52c1d70b,"SpaceX, Crewed",Inspiration4,SpaceX,"Inspiration4 is the world’s first all-civilian mission to orbit. The mission will be commanded by Jared Isaacman, the 38-year-old founder and Chief Executive Officer of Shift4 Payments and an accomplished pilot and adventurer. Named in recognition of the four-person crew that will raise awareness and funds for St. Jude Children’s Research Hospital, this milestone represents a new era for human spaceflight and exploration.",fbd80f13-6236-4455-8576-4d99ac819a02,00:02:00,23:06:00,2021-09-15,2021-09-18,592,Dr. Sian Proctor,female,False,922.0,0.0,Human,human,4264.0,0.0,['Crossed Kármán Line'],1.0,
